Codigo;Articulo;Costo Inicial;Moneda;Desc. 1%;Desc. 2%;Desc. 3%;Costo Final
LL0400;ACEITERA LLUSA METAL.400CC PICO FIJO*;15563.89;ARS;0.00;0.00;0.00;15563.89
LL1400;ACEITERA LLUSA METAL.400CC PICO MOVIL*;16344.20;ARS;0.00;0.00;0.00;16344.20
LL0600;ACEITERA LLUSA METAL.600CC PICO FIJO*;16712.57;ARS;0.00;0.00;0.00;16712.57
LL1600;ACEITERA LLUSA METAL.600CC PICO MOVIL*;18851.90;ARS;0.00;0.00;0.00;18851.90
LL0250;ACEITERA LLUSA PLAST.250cc PICO FIJO*;6668.10;ARS;0.00;0.00;0.00;6668.10
LL1250;ACEITERA LLUSA PLAST.250cc PICO MOVIL*;8159.03;ARS;0.00;0.00;0.00;8159.03
LL0500;ACEITERA LLUSA PLAST.500cc PICO FIJO*;8159.03;ARS;0.00;0.00;0.00;8159.03
LL1500;ACEITERA LLUSA PLAST.500cc PICO MOVIL*;8226.23;ARS;0.00;0.00;0.00;8226.23
LL0002;ACEITERA LLUSA PLAST.A FUELLE*;2756.60;ARS;0.00;0.00;0.00;2756.60
LL0001;ACEITERA LLUSA PLAST.LISA ECON.*;2756.60;ARS;0.00;0.00;0.00;2756.60
AL0035;ADAPTADOR ALIGAS GARRAFA 10KG- 3KG*;1741.50;ARS;0.00;0.00;0.00;1741.50
AL0068;ADAPTADOR ALIGAS GARRAFA 3KG-10KG ART68*;1663.68;ARS;0.00;0.00;0.00;1663.68
10043065;ANCLAJE QUIMICO EV1 300ML QUILOSA;15465.72;ARS;0.00;0.00;0.00;15465.72
OR1088;ANTIPARRA OR RECTANG.VISOR LEVAD.;0.00;ARS;0.00;0.00;0.00;0.00
WE0046;ARCO SIERRA JUNIOR WEMBLEY;2575.93;ARS;0.00;0.00;0.00;2575.93
WE7292;BOCALLAVE MAGNETICA 3/8 X 65MM WEMBLEY;4751.47;ARS;0.00;0.00;0.00;4751.47
WE0060;CABLE P/ BATERIA WEMBLEY;8775.61;ARS;0.00;0.00;0.00;8775.61
BR3695;CAMILLA P/MECANICO PLASTICA PROFEIN*;59668.61;ARS;0.00;0.00;0.00;59668.61
10042375;CARTUCHO ANCLAJE QUIMICO QUILOSA X 300ML;20735.01;ARS;0.00;0.00;0.00;20735.01
HA0039;"CEPILLO CIRC.HAWK AC-BRON-OND. 6"" ECO*";7135.07;ARS;0.00;0.00;0.00;7135.07
HA0003;"CEPILLO CIRC.HAWK AC-BRON-OND. 6""*";7808.19;ARS;0.00;0.00;0.00;7808.19
HA0040;"CEPILLO CIRC.HAWK AC-BRON-OND. 7"" ECO*";8261.16;ARS;0.00;0.00;0.00;8261.16
HA0004;"CEPILLO CIRC.HAWK AC-BRON-OND. 7""*";10626.59;ARS;0.00;0.00;0.00;10626.59
HA0009;CEPILLO CONICO HAWK ONDULADO  100*;4362.71;ARS;0.00;0.00;0.00;4362.71
TA1010;CINTA AISLADORA TACSA 10MTS 15 PLUS*;1022.35;ARS;0.00;0.00;0.00;1022.35
TA1020;CINTA AISLADORA TACSA 20MTS 15 PLUS*;1767.54;ARS;0.00;0.00;0.00;1767.54
TA5000;CINTA AUTO SOLDABLE ALTA TENSION TACSA*;8156.63;ARS;0.00;0.00;0.00;8156.63
EV0002;CINTA AUTOADHESIVA 2MTS EVEL;4355.78;ARS;0.00;0.00;0.00;4355.78
TA3008;CINTA DUC TAPE  48x9MM AZUL   TACSA*;7359.18;ARS;0.00;0.00;0.00;7359.18
TA3005;CINTA DUC TAPE  48x9MM BLANCA TACSA*;7359.18;ARS;0.00;0.00;0.00;7359.18
TA3002;CINTA DUC TAPE  48x9MM GRIS   TACSA*;7359.18;ARS;0.00;0.00;0.00;7359.18
TA3003;CINTA DUC TAPE  48x9MM NEGRA  TACSA*;7359.18;ARS;0.00;0.00;0.00;7359.18
TA0702;CINTA EMBALAR TACSA 48x40 MARRON xU*;3633.27;ARS;0.00;0.00;0.00;3633.27
ES0001;CINTA ESSAMET METRICA  2MT  TRIPLE FREN!;4184.44;ARS;0.00;0.00;0.00;4184.44
ES0002;CINTA ESSAMET METRICA  3MT  TRIPLE FREN!;0.00;ARS;0.00;0.00;0.00;0.00
ES0004;CINTA ESSAMET METRICA  5MT  TRIPLE FREN!;10433.36;ARS;0.00;0.00;0.00;10433.36
ES0005;CINTA ESSAMET METRICA  8MT  TRIPLE FREN!;15960.88;ARS;0.00;0.00;0.00;15960.88
ES0006;CINTA ESSAMET METRICA 10MT  TRIPLE FREN!;20302.90;ARS;0.00;0.00;0.00;20302.90
EV0503;CINTA EVEL  3M 503 CON FRENO/ZAMAC*;4773.28;ARS;0.00;0.00;0.00;4773.28
EV0505;CINTA EVEL  5M 505 RETROBLOK*;6431.65;ARS;0.00;0.00;0.00;6431.65
EV0525;CINTA EVEL  5M 525*;8869.59;ARS;0.00;0.00;0.00;8869.59
EV0508;CINTA EVEL  8M 508 CON FRENO*;14473.73;ARS;0.00;0.00;0.00;14473.73
EV0110;CINTA EVEL 10M 110 FLEJ CROMADA*;11001.17;ARS;0.00;0.00;0.00;11001.17
EV0510;CINTA EVEL 10M 510 ANCHA*;17907.38;ARS;0.00;0.00;0.00;17907.38
EV0115;CINTA EVEL 15M 115 FLEJ CROMADA*;14964.44;ARS;0.00;0.00;0.00;14964.44
EV0120;CINTA EVEL 20M 120 FLEJ CROMADA*;17039.45;ARS;0.00;0.00;0.00;17039.45
EV0125;CINTA EVEL 25M 125 FLEJ CROMADA*;21957.06;ARS;0.00;0.00;0.00;21957.06
EV0130;CINTA EVEL 30M 130 FLEJ CROMADA*;24881.01;ARS;0.00;0.00;0.00;24881.01
EV0150;CINTA EVEL 50M 150 FLEJ CROMADA*;35859.76;ARS;0.00;0.00;0.00;35859.76
AI0134;CLAVO P/ENGRAMPADORA     SK 50MMX5000*;9537.84;ARS;0.00;0.00;0.00;9537.84
AI0127;CLAVO P/ENGRAMPADORA AMX F15    X5000*;3219.04;ARS;0.00;0.00;0.00;3219.04
AI0128;CLAVO P/ENGRAMPADORA AMX F20    X5000*;3934.37;ARS;0.00;0.00;0.00;3934.37
AI0129;CLAVO P/ENGRAMPADORA AMX F25    X5000*;4649.71;ARS;0.00;0.00;0.00;4649.71
AI0088;COMPRESOR    AMX         2.5HP  50L*;180521.41;ARS;0.00;0.00;0.00;180521.41
AI0086;COMPRESOR    AMX C/CORREA  3HP 100L*;0.00;ARS;0.00;0.00;0.00;0.00
WE0097;CORTACAŃOS WEMBLEY 1/8 A 1 1/8*;5197.28;ARS;0.00;0.00;0.00;5197.28
WE3898;CRIQUE CARRITO 2 TN PROFEIN*;0.00;ARS;0.00;0.00;0.00;0.00
AI0006;ENGRAMPADORA NEUMATICA AMX1/4 AT-9040*;39170.07;ARS;0.00;0.00;0.00;39170.07
AI0105;ENGRAMPADORA Y CLAVADORA AMX F50/9040*;42576.06;ARS;0.00;0.00;0.00;42576.06
PD0005;ENGRASADOR PEDERCINI  600CC.A GATILLO*;0.00;ARS;0.00;0.00;0.00;0.00
PD0001;ENGRASADOR PEDERCINI 3KG.MANUAL*;92663.35;ARS;0.00;0.00;0.00;92663.35
PD0002;ENGRASADOR PEDERCINI 5KG.MANUAL*;97350.64;ARS;0.00;0.00;0.00;97350.64
PD0013;ENGRASADOR REP/MANGUERA 120CM*;10245.24;ARS;0.00;0.00;0.00;10245.24
PD0014;ENGRASADOR REP/MANGUERA 150CM*;11821.57;ARS;0.00;0.00;0.00;11821.57
PD0011;ENGRASADOR REP/MANGUERA 30 CM*;4684.92;ARS;0.00;0.00;0.00;4684.92
PD0012;ENGRASADOR REP/MANGUERA 50 CM*;5890.20;ARS;0.00;0.00;0.00;5890.20
EXTR0200007;EXTRACTOR DE RODAM.N°000A/109 25MM CH~;38789.16;ARS;0.00;0.00;0.00;38789.16
EXTR0200008;EXTRACTOR DE RODAM.N°00A/110 35MM CH~;44190.76;ARS;0.00;0.00;0.00;44190.76
EXTR0200009;EXTRACTOR DE RODAM.N°0A/ 111 45MM CH~;61866.90;ARS;0.00;0.00;0.00;61866.90
EXTR0200010;EXTRACTOR DE RODAM.N°1A/ 112 60MM CH~;77086.55;ARS;0.00;0.00;0.00;77086.55
EXTRA020003;EXTRACTOR MEC.POLEA N°103 150MM 2.5 Tn~;100657.65;ARS;0.00;0.00;0.00;100657.65
EXTRA020004;EXTRACTOR MEC.POLEA N°104 200MM 2.5 Tn~;109982.34;ARS;0.00;0.00;0.00;109982.34
EXTR0200005;EXTRACTOR MEC.POLEA N°105 300MM 4.0 Tn~;238691.68;ARS;0.00;0.00;0.00;238691.68
EXTR0200006;EXTRACTOR MEC.POLEA N°106 400MM 4.0 Tn~;265896.84;ARS;0.00;0.00;0.00;265896.84
EXTR0200001;EXTRACTOR MEC.POLEA Nş101 70MM 1.0TN*;61866.63;ARS;0.00;0.00;0.00;61866.63
EXTR0200002;EXTRACTOR MEC.POLEA Nş102 100MM 1.5 Tn~;68739.86;ARS;0.00;0.00;0.00;68739.86
EX1012;EXTRACTOR RODAM.INT. 12MM EXPERTO*;29951.48;ARS;0.00;0.00;0.00;29951.48
EX1015;EXTRACTOR RODAM.INT. 15MM EXPERTO*;29951.48;ARS;0.00;0.00;0.00;29951.48
EX1017;EXTRACTOR RODAM.INT. 17MM CH EXPERTO*;29951.48;ARS;0.00;0.00;0.00;29951.48
EX1020;EXTRACTOR RODAM.INT. 20MM CH EXPERTO*;32405.60;ARS;0.00;0.00;0.00;32405.60
EX1025;EXTRACTOR RODAM.INT. 25MM EXPERTO*;32405.60;ARS;0.00;0.00;0.00;32405.60
EX1000;EXTRACTOR RODAM.INT.KIT CH ART.1000*;0.00;ARS;0.00;0.00;0.00;0.00
EX1001;EXTRACTOR RODAM.INT.KIT CH ART.1001*;0.00;ARS;0.00;0.00;0.00;0.00
10041647;FIJACION POWER FIX INST.STRONG.NEGRO X 430G QUILOSA;19447.25;ARS;0.00;0.00;0.00;19447.25
10047613;FIJACION POWER FIX INSTANT.STRONG.BLANCO X150G QUILOSA;11272.69;ARS;0.00;0.00;0.00;11272.69
EX0106;GARRA EXTRACTOR POLEA N°5 (106)*;265898.42;ARS;0.00;0.00;0.00;265898.42
AMX8011;GRAMPA LINEA 80X10MM X5000U.;3219.10;ARS;0.00;0.00;0.00;3219.10
AMX9020;GRAMPA LINEA 90X20MM X5000U*;7987.95;ARS;0.00;0.00;0.00;7987.95
AMX9025;GRAMPA LINEA 90X25MM X5000U*;9775.30;ARS;0.00;0.00;0.00;9775.30
AMX9030;GRAMPA LINEA 90X30MM X5000U*;12279.30;ARS;0.00;0.00;0.00;12279.30
AMX9040;GRAMPA LINEA 90X40MM X5000U*;16213.49;ARS;0.00;0.00;0.00;16213.49
PN0403;GRASA GRAFITADA 0,100 KG  PNT*;1253.75;ARS;0.00;0.00;0.00;1253.75
AI0008;GRASERA  NEUMATICA 400CM3 AMX AT-6036-6*;40872.66;ARS;0.00;0.00;0.00;40872.66
NAVE0200001;HILO ALBAŃIL Nş21 x 100Grs*;871.10;ARS;0.00;0.00;0.00;871.10
NAVE0200002;HILO ALBAŃIL Nş24 x 100Grs*;871.10;ARS;0.00;0.00;0.00;871.10
NAVE0200003;HILO ALBAŃIL Nş27 x 100Grs*;871.10;ARS;0.00;0.00;0.00;871.10
NAVE0200004;HILO ALBAŃIL Nş30 x 100Grs*;871.10;ARS;0.00;0.00;0.00;871.10
WE2880;JUEGO LLAVE ALLEN WEMBLEY LARGA.PULG. X10PCS;7963.80;ARS;0.00;0.00;0.00;7963.80
WE0143;JUEGO MACHO EXTRACTOR 5PCS WEMBLEY~;6876.92;ARS;0.00;0.00;0.00;6876.92
AI0009;KIT P/COMPRESOR AMX 5 Pzas.*;30654.69;ARS;0.00;0.00;0.00;30654.69
AI0030;LIJADORA ORBITAL AMX MOD.AT-7018*;40872.66;ARS;0.00;0.00;0.00;40872.66
AI0012;"LLAVE CRIQUE AIRM.1/2"" AT-5053 NEUMATIC*";34060.69;ARS;0.00;0.00;0.00;34060.69
AI0028;LLAVE IMPACTO AMX E3/4 AMX-AT-430-2*;204364.13;ARS;0.00;0.00;0.00;204364.13
AI0015;"LLAVE IMPACTO NEUMATICA 1/2"" AT-5040*";40873.07;ARS;0.00;0.00;0.00;40873.07
AI0017;"LLAVE IMPACTO NEUMATICA 1/2""IND.AT-5044*";90261.50;ARS;0.00;0.00;0.00;90261.50
WE6481;LLAVE T WEMBLEY  10MM*;3230.18;ARS;0.00;0.00;0.00;3230.18
WE6479;LLAVE T WEMBLEY  8 MM*;3230.18;ARS;0.00;0.00;0.00;3230.18
WE6414;LLAVE T WEMBLEY 10MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6415;LLAVE T WEMBLEY 11MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6416;LLAVE T WEMBLEY 12MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6417;LLAVE T WEMBLEY 13MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6418;LLAVE T WEMBLEY 14MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6419;LLAVE T WEMBLEY 15MM S.LARGA*;5142.64;ARS;0.00;0.00;0.00;5142.64
WE6420;LLAVE T WEMBLEY 17MM S.LARGA*;5142.64;ARS;0.00;0.00;0.00;5142.64
WE6421;LLAVE T WEMBLEY 19MM S.LARGA*;5142.64;ARS;0.00;0.00;0.00;5142.64
WE6619;LLAVE T WEMBLEY 6MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6620;LLAVE T WEMBLEY 7MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6412;LLAVE T WEMBLEY 8MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
